Latitude (decimal degrees):	52.546
Longitude (decimal degrees):	11.399
Elevation (m):	41
Radiation database:	PVGIS-SARAH2


Slope: 10 deg. 
Azimuth: -81 deg. 
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200626:0411,76050.0,114.02,8.99,17.09,1.93,0.0
20200626:0511,252890.0,325.34,17.47,18.21,1.66,0.0
20200626:0611,400230.0,503.2,26.44,19.92,2.0,0.0
20200626:0711,515050.0,655.98,35.54,21.79,1.86,0.0
20200626:0811,599580.0,777.81,44.36,23.58,1.93,0.0
20200626:0911,598620.0,780.12,52.26,25.1,2.48,0.0
20200626:1011,400870.0,519.5,58.22,25.99,3.1,0.0
20200626:1111,396860.0,515.89,60.79,26.05,2.83,0.0
20200626:1211,333350.0,435.43,59.05,26.53,2.76,0.0
20200626:1311,216750.0,287.9,53.65,26.76,2.97,0.0
20200626:1411,282100.0,371.17,46.03,26.87,2.34,0.0
20200626:1511,329960.0,437.53,37.33,26.67,1.79,0.0
20200626:1611,212280.0,301.26,28.25,25.24,1.1,0.0
20200626:1711,106690.0,161.53,19.23,24.84,1.38,0.0
20200626:1811,27210.0,54.37,10.63,23.82,2.0,0.0
20200626:1911,3650.0,13.84,2.77,23.3,1.72,0.0
20200626:2011,0.0,0.0,0.0,22.28,2.14,0.0
20200626:2111,0.0,0.0,0.0,21.65,2.14,0.0
20200626:2211,0.0,0.0,0.0,20.93,1.79,0.0
20200626:2311,0.0,0.0,0.0,20.27,1.72,0.0
20200627:0011,0.0,0.0,0.0,19.71,1.66,0.0
20200627:0111,0.0,0.0,0.0,19.24,1.59,0.0
20200627:0211,0.0,0.0,0.0,18.27,1.66,0.0
20200627:0311,0.0,0.0,0.0,17.65,1.66,0.0
20200627:0411,48250.0,76.91,8.94,17.52,1.45,0.0
20200627:0511,214640.0,280.37,17.42,19.4,0.97,0.0
20200627:0611,369800.0,473.52,26.38,21.58,0.9,0.0
20200627:0711,489700.0,637.17,35.48,23.46,0.76,0.0
20200627:0811,573740.0,763.2,44.3,25.44,0.83,0.0
20200627:0911,609040.0,818.33,52.21,26.98,1.17,0.0
20200627:1011,586740.0,783.93,58.17,27.9,1.79,0.0
20200627:1111,616040.0,822.11,60.76,28.34,2.21,0.0
20200627:1211,563710.0,748.69,59.03,28.75,2.28,0.0
20200627:1311,535400.0,704.04,53.64,29.12,2.83,0.0
20200627:1411,375940.0,488.9,46.03,26.92,3.03,0.0
20200627:1511,320800.0,422.23,37.33,26.3,2.55,0.0
20200627:1611,211590.0,298.17,28.25,25.31,2.9,0.0
20200627:1711,104710.0,162.58,19.23,24.27,2.76,0.0
20200627:1811,39780.0,66.72,10.63,23.72,2.62,0.0
20200627:1911,3100.0,12.85,2.77,24.48,1.79,0.0
20200627:2011,0.0,0.0,0.0,23.4,1.86,0.0
20200627:2111,0.0,0.0,0.0,22.63,2.14,0.0
20200627:2211,0.0,0.0,0.0,22.11,2.28,0.0
20200627:2311,0.0,0.0,0.0,21.39,2.28,0.0
20200628:0011,0.0,0.0,0.0,20.62,2.0,0.0
20200628:0111,0.0,0.0,0.0,19.98,1.79,0.0
20200628:0211,0.0,0.0,0.0,19.37,1.72,0.0
20200628:0311,0.0,0.0,0.0,19.02,1.79,0.0
20200628:0411,1280.0,8.94,8.88,19.25,1.86,0.0
20200628:0511,182710.0,240.56,17.35,20.01,1.72,0.0
20200628:0611,83910.0,120.26,26.32,21.66,2.21,0.0
20200628:0711,116630.0,161.01,35.42,23.24,2.83,0.0
20200628:0811,243610.0,315.57,44.24,23.53,3.38,0.0
20200628:0911,556410.0,703.64,52.15,23.63,4.69,0.0
20200628:1011,295890.0,377.37,58.12,22.37,4.34,0.0
20200628:1111,264410.0,341.06,60.71,23.37,3.93,0.0
20200628:1211,165100.0,219.64,59.0,23.52,4.28,0.0
20200628:1311,434940.0,549.08,53.62,23.02,4.76,0.0
20200628:1411,280110.0,357.67,46.02,22.42,4.55,0.0
20200628:1511,63780.0,95.41,37.33,22.0,4.0,0.0
20200628:1611,52720.0,81.5,28.25,21.56,3.72,0.0
20200628:1711,31060.0,53.67,19.23,21.12,3.38,0.0
20200628:1811,27980.0,49.61,10.62,20.65,2.62,0.0
20200628:1911,0.0,1.98,2.75,19.25,1.86,0.0
20200628:2011,0.0,0.0,0.0,18.87,1.86,0.0
20200628:2111,0.0,0.0,0.0,18.55,2.07,0.0
20200628:2211,0.0,0.0,0.0,18.32,2.28,0.0
20200628:2311,0.0,0.0,0.0,18.01,2.14,0.0
20200629:0011,0.0,0.0,0.0,17.35,1.93,0.0
20200629:0111,0.0,0.0,0.0,16.79,1.86,0.0
20200629:0211,0.0,0.0,0.0,16.35,1.79,0.0
20200629:0311,0.0,0.0,0.0,15.8,1.66,0.0
20200629:0411,71270.0,107.21,8.81,15.52,1.52,0.0
20200629:0511,239570.0,307.16,17.29,16.54,1.24,0.0
20200629:0611,350830.0,438.76,26.25,17.86,1.59,0.0
20200629:0711,208010.0,267.43,35.35,18.58,1.59,0.0
20200629:0811,328280.0,415.4,44.17,19.58,1.86,0.0
20200629:0911,483800.0,613.43,52.08,20.44,2.28,0.0
20200629:1011,674180.0,867.39,58.06,21.1,2.55,0.0
20200629:1111,130740.0,176.91,60.66,21.67,3.03,0.0
20200629:1211,146450.0,195.79,58.97,21.79,3.52,0.0
20200629:1311,548400.0,689.5,53.6,20.98,3.52,0.0
20200629:1411,439740.0,556.35,46.01,21.59,2.97,0.0
20200629:1511,68580.0,101.37,37.32,21.95,3.45,0.0
20200629:1611,169250.0,225.11,28.24,21.71,3.59,0.0
20200629:1711,92580.0,161.63,19.22,21.18,3.17,0.0
20200629:1811,24480.0,50.71,10.61,20.77,3.24,0.0
20200629:1911,3200.0,12.85,2.74,19.85,3.03,0.0
20200629:2011,0.0,0.0,0.0,18.78,2.83,0.0
20200629:2111,0.0,0.0,0.0,18.15,2.69,0.0
20200629:2211,0.0,0.0,0.0,17.53,2.69,0.0
20200629:2311,0.0,0.0,0.0,17.07,3.03,0.0
20200630:0011,0.0,0.0,0.0,16.69,3.52,0.0
20200630:0111,0.0,0.0,0.0,16.24,3.79,0.0
20200630:0211,0.0,0.0,0.0,15.97,3.93,0.0
20200630:0311,0.0,0.0,0.0,15.55,3.86,0.0
20200630:0411,13470.0,28.82,8.74,15.21,4.07,0.0
20200630:0511,185690.0,237.74,17.21,15.42,3.86,0.0
20200630:0611,423280.0,511.8,26.18,15.84,5.38,0.0
20200630:0711,279850.0,345.29,35.28,17.09,6.34,0.0
20200630:0811,568850.0,690.27,44.1,17.65,6.34,0.0
20200630:0911,345500.0,426.35,52.01,17.92,5.93,0.0
20200630:1011,308260.0,383.44,57.99,18.43,6.07,0.0
20200630:1111,652490.0,804.08,60.6,19.4,6.34,0.0
20200630:1211,546310.0,675.31,58.92,20.56,6.62,0.0
20200630:1311,341820.0,427.04,53.58,20.61,6.55,0.0
20200630:1411,374040.0,465.44,45.99,20.28,6.0,0.0
20200630:1511,256080.0,324.84,37.31,20.0,5.45,0.0
20200630:1611,170070.0,223.56,28.23,19.7,4.62,0.0
20200630:1711,20930.0,39.75,19.21,19.3,4.55,0.0
20200630:1811,40420.0,66.01,10.59,18.92,4.21,0.0
20200630:1911,3770.0,13.84,2.71,18.52,4.07,0.0
20200630:2011,0.0,0.0,0.0,17.95,3.38,0.0
20200630:2111,0.0,0.0,0.0,17.63,2.97,0.0
20200630:2211,0.0,0.0,0.0,17.59,3.03,0.0
20200630:2311,0.0,0.0,0.0,17.77,3.72,0.0
20200701:0011,0.0,0.0,0.0,18.13,4.14,0.0
20200701:0111,0.0,0.0,0.0,18.3,4.34,0.0
20200701:0211,0.0,0.0,0.0,18.26,4.28,0.0
20200701:0311,0.0,0.0,0.0,18.15,4.07,0.0
20200701:0411,13950.0,29.82,8.66,17.94,3.72,0.0
20200701:0511,30820.0,52.67,17.14,17.84,3.1,0.0
20200701:0611,49570.0,76.53,26.1,18.07,2.34,0.0
20200701:0711,60010.0,89.45,35.2,18.52,3.93,0.0
20200701:0811,121280.0,162.99,44.02,18.73,4.48,0.0
20200701:0911,123060.0,164.98,51.93,18.44,4.14,0.0
20200701:1011,124820.0,166.97,57.91,17.96,3.24,0.0
20200701:1111,78110.0,111.31,60.54,18.04,3.03,0.0
20200701:1211,221750.0,283.21,58.87,18.33,2.76,0.0
20200701:1311,214510.0,275.09,53.54,18.78,2.69,0.0
20200701:1411,84250.0,119.26,45.97,19.29,3.38,0.0
20200701:1511,133560.0,178.9,37.29,19.93,3.17,0.0
20200701:1611,94580.0,132.18,28.21,20.34,4.07,0.0
20200701:1711,28930.0,50.69,19.19,20.34,3.72,0.0
20200701:1811,40410.0,66.71,10.57,19.52,3.45,0.0
20200701:1911,3220.0,12.85,2.68,18.87,3.03,0.0
20200701:2011,0.0,0.0,0.0,18.32,3.03,0.0
20200701:2111,0.0,0.0,0.0,18.05,3.31,0.0
20200701:2211,0.0,0.0,0.0,17.86,3.45,0.0
20200701:2311,0.0,0.0,0.0,17.42,3.38,0.0
20200702:0011,0.0,0.0,0.0,16.75,3.03,0.0
20200702:0111,0.0,0.0,0.0,16.06,2.62,0.0
20200702:0211,0.0,0.0,0.0,15.48,2.34,0.0
20200702:0311,0.0,0.0,0.0,15.07,2.14,0.0
20200702:0411,77420.0,115.7,8.58,15.13,2.07,0.0
20200702:0511,60320.0,89.08,17.06,15.96,1.93,0.0
20200702:0611,264810.0,330.61,26.02,17.14,2.97,0.0
20200702:0711,137520.0,182.18,35.12,18.13,3.1,0.0
20200702:0811,488380.0,607.91,43.94,18.95,3.1,0.0
20200702:0911,347340.0,437.46,51.85,19.94,3.1,0.0
20200702:1011,151350.0,200.76,57.83,20.6,3.24,0.0
20200702:1111,230830.0,297.21,60.47,21.08,3.38,0.0
20200702:1211,521820.0,660.61,58.82,21.49,3.38,0.0
20200702:1311,504790.0,638.97,53.5,21.89,3.24,0.0
20200702:1411,429390.0,543.89,45.94,22.26,3.31,0.0
20200702:1511,351380.0,452.31,37.27,22.24,3.1,0.0
20200702:1611,109990.0,152.24,28.19,22.05,2.83,0.0
20200702:1711,31670.0,54.66,19.16,21.9,2.76,0.0
20200702:1811,34900.0,59.09,10.54,21.35,2.48,0.0
20200702:1911,0.0,4.94,2.65,18.71,2.0,0.0
20200702:2011,0.0,0.0,0.0,17.72,1.79,0.0
20200702:2111,0.0,0.0,0.0,16.98,1.86,0.0
20200702:2211,0.0,0.0,0.0,16.33,2.14,0.0
20200702:2311,0.0,0.0,0.0,15.57,2.55,0.0
20200703:0011,0.0,0.0,0.0,14.98,2.9,0.0
20200703:0111,0.0,0.0,0.0,14.32,2.97,0.0
20200703:0211,0.0,0.0,0.0,13.93,2.83,0.0
20200703:0311,0.0,0.0,0.0,13.64,2.69,0.0
20200703:0411,83990.0,123.75,8.49,13.67,2.69,0.0
20200703:0511,255540.0,320.6,16.97,14.17,3.52,0.0
20200703:0611,404030.0,489.96,25.93,14.85,3.93,0.0
20200703:0711,352190.0,430.37,35.04,16.16,4.28,0.0
20200703:0811,355560.0,437.97,43.85,17.38,4.55,0.0
20200703:0911,424220.0,524.44,51.76,18.29,4.41,0.0
20200703:1011,416820.0,519.67,57.75,19.29,4.14,0.0
20200703:1111,342280.0,430.21,60.39,19.87,4.0,0.0
20200703:1211,432470.0,543.24,58.76,20.26,3.66,0.0
20200703:1311,418110.0,526.15,53.46,20.77,3.59,0.0
20200703:1411,455470.0,571.03,45.9,21.28,4.0,0.0
20200703:1511,327970.0,417.93,37.24,21.46,4.28,0.0
20200703:1611,218090.0,297.11,28.16,21.22,4.14,0.0
20200703:1711,104450.0,163.89,19.13,21.22,3.86,0.0
20200703:1811,29840.0,55.99,10.5,20.6,2.69,0.0
20200703:1911,1710.0,9.88,2.61,19.65,2.76,0.0
20200703:2011,0.0,0.0,0.0,18.98,2.69,0.0
20200703:2111,0.0,0.0,0.0,18.36,2.69,0.0
20200703:2211,0.0,0.0,0.0,17.8,2.62,0.0
20200703:2311,0.0,0.0,0.0,17.29,2.69,0.0
20200704:0011,0.0,0.0,0.0,16.87,2.97,0.0
20200704:0111,0.0,0.0,0.0,16.67,3.24,0.0
20200704:0211,0.0,0.0,0.0,16.52,3.45,0.0
20200704:0311,0.0,0.0,0.0,16.39,3.66,0.0
20200704:0411,53060.0,83.5,8.4,16.26,3.72,0.0
20200704:0511,17570.0,34.79,16.88,16.76,3.66,0.0
20200704:0611,147630.0,193.13,25.84,17.79,4.21,0.0
20200704:0711,291720.0,363.02,34.95,18.73,4.76,0.0
20200704:0811,310710.0,386.82,43.76,18.79,4.83,0.0
20200704:0911,405200.0,502.61,51.67,18.6,4.07,0.0
20200704:1011,267590.0,337.76,57.66,19.57,4.97,0.0
20200704:1111,267320.0,339.09,60.31,20.68,5.17,0.0
20200704:1211,264100.0,336.56,58.69,22.12,6.21,0.0
20200704:1311,208550.0,270.12,53.4,22.28,5.66,0.0
20200704:1411,322780.0,409.3,45.86,22.03,4.34,0.0
20200704:1511,111040.0,153.06,37.2,22.07,4.28,0.0
20200704:1611,118180.0,161.76,28.12,21.82,4.0,0.0
20200704:1711,31740.0,54.66,19.09,21.64,4.0,0.0
20200704:1811,22920.0,42.74,10.46,20.93,4.07,0.0
20200704:1911,0.0,0.99,2.56,19.76,3.31,0.0
20200704:2011,0.0,0.0,0.0,19.24,3.45,0.0
20200704:2111,0.0,0.0,0.0,18.66,3.66,0.0
20200704:2211,0.0,0.0,0.0,18.31,3.52,0.0
20200704:2311,0.0,0.0,0.0,18.13,3.24,0.0
20200705:0011,0.0,0.0,0.0,17.8,3.38,0.0
20200705:0111,0.0,0.0,0.0,17.85,3.66,0.0
20200705:0211,0.0,0.0,0.0,17.99,3.79,0.0
20200705:0311,0.0,0.0,0.0,18.17,3.86,0.0
20200705:0411,2740.0,11.93,8.3,18.42,4.07,0.0
20200705:0511,53190.0,81.13,16.78,18.73,4.34,0.0
20200705:0611,88940.0,124.65,25.75,19.15,4.55,0.0
20200705:0711,124930.0,168.26,34.85,20.23,4.97,0.0
20200705:0811,173020.0,226.04,43.67,20.83,5.17,0.0
20200705:0911,200050.0,258.69,51.57,22.1,8.07,0.0
20200705:1011,132370.0,178.9,57.56,23.06,7.31,0.0
20200705:1111,160320.0,212.69,60.21,23.21,6.9,0.0
20200705:1211,141990.0,190.82,58.61,23.23,6.21,0.0
20200705:1311,65000.0,97.4,53.34,23.67,7.24,0.0
20200705:1411,151830.0,202.75,45.81,23.01,5.24,0.0
20200705:1511,101370.0,141.13,37.16,21.96,5.31,0.0
20200705:1611,200830.0,266.82,28.08,21.06,5.52,0.0
20200705:1711,53940.0,82.49,19.05,20.19,4.9,0.0
20200705:1811,21950.0,45.96,10.41,20.03,5.38,0.0
20200705:1911,0.0,3.95,2.51,20.48,4.41,0.0
20200705:2011,0.0,0.0,0.0,19.77,4.21,0.0
20200705:2111,0.0,0.0,0.0,19.31,3.93,0.0
20200705:2211,0.0,0.0,0.0,18.74,3.79,0.0
20200705:2311,0.0,0.0,0.0,18.32,3.52,0.0
20200706:0011,0.0,0.0,0.0,17.76,3.66,0.0
20200706:0111,0.0,0.0,0.0,17.32,4.21,0.0
20200706:0211,0.0,0.0,0.0,16.79,4.83,0.0
20200706:0311,0.0,0.0,0.0,16.19,5.1,0.0
20200706:0411,71010.0,107.52,8.2,15.73,4.9,0.0
20200706:0511,246540.0,310.95,16.68,15.59,4.76,0.0
20200706:0611,94050.0,128.63,25.65,15.41,5.31,0.0
20200706:0711,349330.0,425.01,34.75,16.3,5.86,0.0
20200706:0811,397210.0,483.59,43.57,16.65,5.86,0.0
20200706:0911,575220.0,700.4,51.47,17.28,6.14,0.0
20200706:1011,60380.0,89.45,57.45,17.67,6.21,0.0
20200706:1111,110180.0,149.08,60.12,18.11,6.69,0.0
20200706:1211,404100.0,496.51,58.53,18.15,6.83,0.0
20200706:1311,243650.0,307.46,53.28,18.98,6.21,0.0
20200706:1411,78470.0,111.31,45.76,17.86,6.62,0.0
20200706:1511,116510.0,155.04,37.11,15.8,6.41,0.0
20200706:1611,228100.0,305.7,28.04,15.05,4.14,0.0
20200706:1711,99610.0,161.44,19.0,15.88,4.69,0.0
20200706:1811,23360.0,46.89,10.36,15.87,4.69,0.0
20200706:1911,2770.0,11.86,2.45,15.49,4.62,0.0
20200706:2011,0.0,0.0,0.0,14.84,4.21,0.0
20200706:2111,0.0,0.0,0.0,14.39,4.14,0.0
20200706:2211,0.0,0.0,0.0,13.99,4.0,0.0
20200706:2311,0.0,0.0,0.0,13.6,3.79,0.0
20200707:0011,0.0,0.0,0.0,13.26,3.72,0.0
20200707:0111,0.0,0.0,0.0,12.98,3.59,0.0
20200707:0211,0.0,0.0,0.0,12.69,3.59,0.0
20200707:0311,0.0,0.0,0.0,12.3,3.45,0.0
20200707:0411,85620.0,125.95,8.1,12.11,3.31,0.0
20200707:0511,251000.0,313.04,16.58,12.41,3.59,0.0
20200707:0611,335350.0,405.2,25.55,12.98,3.93,0.0
20200707:0711,445570.0,536.75,34.65,13.91,3.93,0.0
20200707:0811,431970.0,524.63,43.46,14.99,4.14,0.0
20200707:0911,396320.0,485.62,51.36,15.69,4.0,0.0
20200707:1011,382840.0,471.77,57.34,16.41,4.07,0.0
20200707:1111,460550.0,567.98,60.01,16.89,4.07,0.0
20200707:1211,586700.0,726.71,58.44,17.74,4.0,0.0
20200707:1311,480300.0,595.04,53.21,18.32,4.0,0.0
20200707:1411,426670.0,529.14,45.7,18.53,4.0,0.0
20200707:1511,335530.0,421.35,37.06,18.19,4.07,0.0
20200707:1611,77440.0,110.32,27.99,17.95,4.28,0.0
20200707:1711,48950.0,75.53,18.95,17.66,3.93,0.0
20200707:1811,17540.0,34.79,10.3,17.07,3.59,0.0
20200707:1911,1780.0,9.88,2.38,14.46,3.1,0.0
20200707:2011,0.0,0.0,0.0,13.96,2.76,0.0
20200707:2111,0.0,0.0,0.0,13.65,2.55,0.0
20200707:2211,0.0,0.0,0.0,13.34,2.48,0.0
20200707:2311,0.0,0.0,0.0,13.05,2.48,0.0
20200708:0011,0.0,0.0,0.0,12.77,2.28,0.0
20200708:0111,0.0,0.0,0.0,12.47,2.14,0.0
20200708:0211,0.0,0.0,0.0,12.28,2.21,0.0
20200708:0311,0.0,0.0,0.0,12.19,2.21,0.0
20200708:0411,6350.0,17.89,7.99,12.32,2.0,0.0
20200708:0511,7590.0,19.88,16.47,12.57,1.72,0.0
20200708:0611,41880.0,65.6,25.44,13.01,1.66,0.0
20200708:0711,79720.0,111.31,34.54,13.66,2.28,0.0
20200708:0811,127840.0,167.96,43.35,13.96,2.28,0.0
20200708:0911,219350.0,275.75,51.25,14.39,2.28,0.0
20200708:1011,239630.0,300.4,57.23,14.97,2.48,0.0
20200708:1111,216440.0,273.33,59.9,15.38,2.55,0.0
20200708:1211,354790.0,439.42,58.34,15.87,2.97,0.0
20200708:1311,408600.0,506.03,53.13,16.27,2.76,0.0
20200708:1411,221530.0,280.77,45.63,16.99,3.1,0.0
20200708:1511,102550.0,140.13,37.0,17.28,3.03,0.0
20200708:1611,141300.0,186.57,27.93,17.14,3.03,0.0
20200708:1711,104130.0,146.08,18.89,16.28,2.55,0.0
20200708:1811,7460.0,19.88,10.24,15.67,2.34,0.0
20200708:1911,860.0,7.91,2.31,15.6,1.59,0.0
20200708:2011,0.0,0.0,0.0,14.94,1.52,0.0
20200708:2111,0.0,0.0,0.0,14.67,1.17,0.0
20200708:2211,0.0,0.0,0.0,14.54,0.9,0.0
20200708:2311,0.0,0.0,0.0,14.42,0.83,0.0
20200709:0011,0.0,0.0,0.0,14.27,0.97,0.0
20200709:0111,0.0,0.0,0.0,14.24,0.9,0.0
20200709:0211,0.0,0.0,0.0,14.16,1.1,0.0
20200709:0311,0.0,0.0,0.0,13.86,1.31,0.0
20200709:0411,900.0,7.95,7.87,13.62,1.59,0.0
20200709:0511,29080.0,49.69,16.36,13.9,1.38,0.0
20200709:0611,52080.0,78.52,25.33,14.32,1.45,0.0
